"Number","Player","Team","GP","MIN","PTS","FGM","FGA","FG","3PM","3PA","3P","FTM","FTA","FT","ORB","DRB","REB","AST","STL","BLK","TOV","PF","Score","AVG","SearchKey"
"50","Tyler Herro","MIA","6","183.5","131","45","93","0.484","23","52","0.442","18","23","0.783","1","30","31","25","3","2","13","14","161","27",
"51","RJ Barrett","TOR","5","166.3","131","48","108","0.444","14","37","0.378","21","30","0.7","6","23","29","39","4","0","16","16","167","33",
"52","Karl-Anthony Towns","NYK","6","186.9","128","46","88","0.523","11","19","0.579","25","28","0.893","20","55","75","15","4","4","9","19","200","33",
"53","Jalen Williams","OKC","7","220.2","128","51","113","0.451","14","36","0.389","12","18","0.667","6","38","44","33","15","4","16","20","173","25",
"54","Payton Pritchard","BOS","8","220.9","128","42","90","0.467","32","74","0.432","12","13","0.923","6","18","24","22","10","0","9","12","156","20",
"55","Jakob Poeltl","TOR","8","260.2","125","53","90","0.589","0","0","0","19","26","0.731","35","60","95","23","8","10","21","33","201","25",
"56","Tre Mann","CHA","7","186.8","125","47","100","0.47","16","36","0.444","15","15","1","8","16","24","27","5","3","14","17","148","21",
"57","Jordan Hawkins","NOP","7","223.7","123","41","96","0.427","18","48","0.375","23","25","0.92","4","28","32","10","1","2","12","11","141","20",
"58","Ivica Zubac","LAC","7","242.3","122","50","93","0.538","0","0","0","22","36","0.611","33","58","91","19","5","5","17","21","198","28",
"59","Austin Reaves","LAL","7","245.6","121","42","89","0.472","16","45","0.356","21","27","0.778","9","26","35","34","10","3","20","21","150","21",
"60","Jarrett Allen","CLE","8","240","120","48","70","0.686","0","0","0","24","34","0.706","16","77","93","14","8","11","8","8","211","26",
"61","Chet Holmgren","OKC","7","194.9","120","43","80","0.538","8","26","0.308","26","36","0.722","12","56","68","19","8","22","19","14","169","24",
"62","Michael Porter Jr","DEN","7","254.6","118","46","99","0.465","18","50","0.36","8","12","0.667","12","39","51","18","7","2","8","14","171","24",
"63","Jaren Jackson Jr","MEM","6","164.9","117","44","77","0.571","9","21","0.429","20","30","0.667","7","23","30","5","9","7","11","21","130","22",
"64","John Collins","UTA","7","164.6","116","44","90","0.489","8","22","0.364","20","21","0.952","16","38","54","20","6","7","15","26","160","23",
"65","Alperen Sengun","HOU","7","202.6","115","43","98","0.439","4","13","0.308","25","34","0.735","28","58","86","27","8","8","16","23","196","28",
"66","Deandre Ayton","POR","8","252.7","115","53","105","0.505","4","9","0.444","5","8","0.625","25","67","92","10","6","4","9","16","199","25",
"67","Keyonte George","UTA","7","228.6","115","35","107","0.327","18","63","0.286","27","34","0.794","4","16","20","48","4","1","24","7","135","19",
"68","Bennedict Mathurin","IND","7","192.9","114","39","73","0.534","9","24","0.375","27","36","0.75","7","29","36","14","2","0","11","17","142","20",
"69","Jimmy Butler","MIA","6","200.4","112","36","75","0.48","2","10","0.2","38","53","0.717","17","13","30","34","11","2","11","11","154","26",
"70","Tyrese Haliburton","IND","7","241.9","109","39","102","0.382","14","58","0.241","17","24","0.708","6","25","31","56","9","4","13","15","170","24",
"71","Tim Hardaway Jr","DET","8","232.2","109","34","71","0.479","25","51","0.49","16","17","0.941","1","6","7","14","1","0","4","14","122","15",
"72","Aaron Gordon","DEN","7","212.4","108","37","70","0.529","12","22","0.545","22","26","0.846","19","28","47","22","5","2","9","13","159","23",
"73","Jeremy Sochan","SAS","7","205.3","108","44","86","0.512","3","12","0.25","17","25","0.68","17","37","54","21","7","3","16","21","151","22",
"74","Naz Reid","MIN","7","175.5","107","37","64","0.578","16","33","0.485","17","18","0.944","5","41","46","13","2","5","10","16","146","21",
"75","Zion Williamson","NOP","5","157.2","107","38","86","0.442","2","6","0.333","29","47","0.617","14","26","40","28","3","6","18","15","139","28",
"76","Bilal Coulibaly","WAS","6","209","106","37","67","0.552","11","25","0.44","21","26","0.808","11","24","35","15","6","1","13","16","130","22",
"77","Ochai Agbaji","TOR","8","241.8","105","42","72","0.583","12","26","0.462","9","13","0.692","11","27","38","16","11","5","8","22","143","18",
"78","Collin Sexton","UTA","7","175.7","105","32","74","0.432","7","20","0.35","34","38","0.895","1","15","16","19","6","2","19","16","102","15",
"79","Tobias Harris","DET","8","264","104","43","98","0.439","6","33","0.182","12","12","1","8","54","62","20","5","9","14","24","158","20",
"80","Christian Braun","DEN","7","246.4","104","39","72","0.542","9","20","0.45","17","21","0.81","8","26","34","12","7","7","8","20","134","19",
"81","Jrue Holiday","BOS","8","237","104","37","74","0.5","19","39","0.487","11","14","0.786","4","25","29","25","2","2","13","13","132","16",
"82","Josh Giddey","CHI","7","203.9","103","37","84","0.44","11","25","0.44","18","30","0.6","11","39","50","44","5","1","18","7","161","23",
"83","Mikal Bridges","NYK","6","223.2","103","42","83","0.506","15","39","0.385","4","8","0.5","7","13","20","19","9","4","9","10","124","21",
"84","Klay Thompson","DAL","7","210","103","38","86","0.442","24","62","0.387","3","3","1","5","17","22","13","6","2","5","7","128","18",
"85","Santi Aldama","MEM","8","237.7","102","41","86","0.477","11","39","0.282","9","9","1","11","50","61","28","4","5","14","9","163","20",
"86","Myles Turner","IND","6","185.3","102","36","73","0.493","13","32","0.406","17","24","0.708","3","37","40","9","5","10","19","24","113","19",
"87","Keegan Murray","SAC","7","264.5","101","38","86","0.442","13","43","0.302","12","14","0.857","16","38","54","12","4","5","6","23","155","22",
"88","Kelly Oubre Jr","PHI","6","198.1","101","37","92","0.402","11","37","0.297","16","21","0.762","8","19","27","5","8","1","9","25","115","19",
"89","Scoot Henderson","POR","8","205.3","98","34","84","0.405","7","27","0.259","23","29","0.793","4","20","24","39","6","0","24","21","113","14",
"90","Terry Rozier","MIA","6","193","96","31","76","0.408","20","46","0.435","14","16","0.875","1","27","28","26","3","2","11","10","128","21",
"91","Rui Hachimura","LAL","7","239.1","95","34","81","0.42","12","21","0.571","15","18","0.833","15","30","45","11","4","3","5","12","141","20",
"92","Jonathan Kuminga","GSW","7","166.4","95","34","76","0.447","4","18","0.222","23","35","0.657","10","19","29","11","7","3","12","9","111","16",
"93","Desmond Bane","MEM","5","132.5","94","35","72","0.486","13","32","0.406","11","12","0.917","5","22","27","14","5","3","9","15","117","23",
"94","Fred VanVleet","HOU","7","263.1","93","30","92","0.326","16","58","0.276","17","20","0.85","7","15","22","39","11","2","5","23","144","21",
"95","Bam Adebayo","MIA","6","192.7","92","34","77","0.442","3","14","0.214","21","32","0.656","17","34","51","19","9","9","4","10","154","26",
"96","Malik Monk","SAC","7","190.4","92","35","76","0.461","11","35","0.314","11","14","0.786","0","21","21","22","4","2","5","14","125","18",
"97","Scotty Pippen Jr","MEM","8","206.6","91","34","69","0.493","9","23","0.391","14","17","0.824","4","22","26","54","9","3","19","28","133","17",
"98","Malik Beasley","DET","8","204.8","91","31","91","0.341","21","59","0.356","8","11","0.727","3","15","18","9","4","1","9","11","100","12",
"99","Miles Bridges","CHA","7","209.1","90","32","88","0.364","10","42","0.238","16","21","0.762","4","43","47","18","4","4","13","9","129","18",
"100","Zach Edey","MEM","8","157.1","89","40","62","0.645","2","4","0.5","7","16","0.438","23","29","52","4","4","7","8","24","129","16",
